Frame,X,Y,Radius
13-38-07_17_0050,2,45,30
13-38-07_17_0051,25,61,26
13-38-07_17_0052,3,58,31
13-38-07_17_0053,2,71,33
13-38-07_17_0054,4,64,25
13-38-07_17_0055,3,51,20
13-38-07_17_0056,2,65,44
13-38-07_17_0057,34,79,64
13-38-07_17_0058,55,63,49
13-38-07_17_0059,89,88,82
13-38-07_17_0060,103,95,87
13-38-07_17_0061,134,89,85
13-38-07_17_0062,176,88,73
13-38-07_17_0063,214,110,66
13-38-07_17_0064,255,118,74
13-38-07_17_0065,266,115,73
13-38-07_17_0066,287,130,74
13-38-07_17_0067,339,141,89
13-38-07_17_0068,381,143,68
13-38-07_17_0069,411,167,65
13-38-07_17_0070,443,182,81
13-38-07_17_0071,484,175,33
13-38-07_17_0072,507,189,99
13-38-07_17_0073,545,184,52
13-38-07_17_0074,589,188,37
13-38-07_17_0075,621,203,69
13-38-07_17_0076,644,208,73
13-38-07_17_0077,681,209,53
13-38-07_17_0078,721,224,77
13-38-07_17_0079,741,223,79
13-38-07_17_0080,776,215,52
13-38-07_17_0081,791,219,73
13-38-07_17_0082,812,232,68
13-38-07_17_0083,830,230,77
13-38-07_17_0084,855,233,74
13-38-07_17_0085,873,236,79
13-38-07_17_0086,887,238,82
13-38-07_17_0087,905,255,94
13-38-07_17_0088,932,269,72
13-38-07_17_0089,963,255,98
13-38-07_17_0090,991,257,91
13-38-07_17_0091,1011,257,73
13-38-07_17_0092,1021,257,90
13-38-07_17_0093,1057,269,99
13-38-07_17_0094,1083,267,99
13-38-07_17_0095,1115,262,99
13-38-07_17_0096,1144,261,98
13-38-07_17_0097,1159,250,52
13-38-07_17_0098,1202,251,74
13-38-07_17_0099,1221,242,69
13-38-07_17_0100,1229,254,37
13-38-07_17_0101,1275,241,82
13-38-07_17_0102,1268,259,41
13-38-07_17_0103,1277,227,41
13-38-07_17_0104,1258,249,21
13-38-07_17_0105,1277,257,17
13-38-07_17_0106,1277,233,38
13-38-07_17_0107,1268,245,27
13-38-07_17_0108,1252,214,27
13-38-07_17_0109,1251,125,26
